2023-08-18 15:43:38.496309, Files: 5, Size: 1M, Loadavg: 3.45 3.20 2.83 1/538 4631

2023-08-18 15:43:40.311070, Files: 5, Size: 1M, Loadavg: 3.58 3.23 2.84 1/538 4659

2023-08-18 15:43:40.378826, Files: 5, Size: 1M, Loadavg: 3.58 3.23 2.84 2/538 4661

2023-08-18 15:43:41.808238, Files: 5, Size: 1M, Loadavg: 3.58 3.23 2.84 4/538 4665

2023-08-18 15:43:43.635593, Files: 5, Size: 1M, Loadavg: 3.58 3.23 2.84 2/538 4691

2023-08-18 15:43:46.808994, Files: 5, Size: 1M, Loadavg: 3.53 3.22 2.84 2/538 4727

2023-08-18 15:43:47.161431, Files: 5, Size: 1M, Loadavg: 3.53 3.22 2.84 1/538 4729

2023-08-18 15:43:50.173646, Files: 5, Size: 1M, Loadavg: 3.33 3.19 2.83 4/538 4771

2023-08-18 15:44:09.810065, Files: 5, Size: 1M, Loadavg: 3.51 3.23 2.85 2/539 4795

2023-08-18 15:44:15.317963, Files: 5, Size: 1M, Loadavg: 3.50 3.24 2.85 4/539 4823

2023-08-18 15:44:15.422722, Files: 5, Size: 1M, Loadavg: 3.50 3.24 2.85 5/539 4825

2023-08-18 15:44:17.203489, Files: 5, Size: 1M, Loadavg: 3.50 3.24 2.85 2/539 4829

2023-08-18 15:44:19.512107, Files: 5, Size: 1M, Loadavg: 3.50 3.24 2.85 1/539 4855

2023-08-18 15:44:22.187779, Files: 5, Size: 1M, Loadavg: 3.54 3.25 2.86 1/539 4891

2023-08-18 15:44:22.221744, Files: 5, Size: 1M, Loadavg: 3.54 3.25 2.86 1/539 4893

2023-08-18 15:44:24.154699, Files: 5, Size: 1M, Loadavg: 3.54 3.25 2.86 2/539 4935

